,Price,new_car_price,overview_Fuel type,overview_Transmission,overview_Color,overview_Insurance,overview_Registration Type,overview_Car Available at,spec_Engine,spec_Fuel Type,spec_Transmission,spec_Max Power (bhp@rpm),spec_Max Torque (Nm@rpm),spec_Mileage,spec_Top Speed,spec_Emission Standard,spec_Seating Capacity,spec_Bootspace,spec_Fuel Tank Capacity,spec_Airbags,spec_Anti-Lock Braking System (ABS),spec_Electronic Stability Program (ESP),spec_Brake Assist (BA),spec_Electronic Brake-force Distribution (EBD),spec_Traction Control System (TC/TCS),spec_Hill Hold Control,spec_Hill Descent Control,spec_Child Safety Lock,spec_Child Seat Anchor Points,spec_Engine Immobiliser,spec_Central Locking,spec_Sunroof,spec_Parking Sensors,spec_Keyless Start/ Button Start,spec_GPS Navigation System,spec_ADAS,spec_Automatic Emergency Braking,spec_Vehicle Warranty,spec_Battery,spec_Driving Range,spec_Battery Warranty,spec_DC Fast Charging,spec_AC Fast Charging,spec_AC Regular Charging,spec_Regenerative Braking,spec_CNG Tank Capacity (L/Kg),spec_Turbocharger/ Supercharger,spec_Four-Wheel-Drive,Manufacturing Year,Brand,Model,Varient,Kilometer,ownership
19784,1789999.9999999998,2287000.0,Petrol,"Automatic (TC) - 6 Gears, Manual Override, Sport Mode",Black,Expired,Individual,"Nimri, Delhi","2694 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",Petrol,"Automatic (TC) - 6 Gears, Manual Override, Sport Mode",164 bhp @ 5200 rpm,245 Nm @ 4000 rpm,ARAI: 15.6 kmpl,,BS 6,7 Seats and 3 Rows,300 L,65 litres,"3 Airbags (Driver, Front Passenger, Driver Knee)",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Rear,No,No,,No,Not Applicable,Not Applicable,1014 km,Not Applicable,,,,,,No,No,2021,Toyota,Innova,"['Crysta', 'GX', '2.7', 'AT', '7', 'STR']",38000.0,1
19785,1725000.0,2613000.0,Diesel,"Automatic (TC) - 6 Gears, Manual Override, Sport Mode",White,Comprehensive,Individual,"Rajapur, Delhi","2393 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",Diesel,"Automatic (TC) - 6 Gears, Manual Override, Sport Mode",148 bhp @ 3400 rpm,360 Nm @ 1400 rpm,ARAI: 15.6 kmpl,,BS 6,8 Seats and 3 Rows,300 L,55 litres,"3 Airbags (Driver, Front Passenger, Driver Knee)",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Rear,No,No,,No,Not Applicable,Not Applicable,858 km,Not Applicable,,,,,,Turbocharged (Variable Geometry),No,2022,Toyota,Innova,"['Crysta', 'GX', '2.4', 'AT', '8', 'STR']",85000.0,1
19786,1595000.0,2281000.0,Diesel,Manual - 5 Gears,Silver,Zero Depreciation,Individual,"Ashok Nagar, Delhi","2393 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",Diesel,Manual - 5 Gears,148 bhp @ 3400 rpm,343 Nm @ 1400 rpm,ARAI: 15.6 kmpl,,BS 6,7 Seats and 3 Rows,,55 litres,"3 Airbags (Driver, Front Passenger, Driver Knee)",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Rear,No,No,,No,Not Applicable,Not Applicable,858 km,Not Applicable,,,,,,Turbocharged (Variable Geometry),No,2021,Toyota,Innova,"['Crysta', '2.4', 'GX', 'Limited', 'Edition', '7', 'STR']",97000.0,1
19787,1290000.0,1948000.0,Diesel,"Manual - 5 Gears, Sport Mode",Bronze,Third Party,Individual,"Anand Parbat, Delhi","2393 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",Diesel,"Manual - 5 Gears, Sport Mode",148 bhp @ 3400 rpm,343 Nm @ 1400 rpm,ARAI: 15.1 kmpl,,BS 4,7 Seats and 3 Rows,,55 litres,,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,No,,,Not Applicable,,,,,,,,,Turbocharged (Variable Geometry),No,2019,Toyota,Innova,"['Crysta', '2.4', 'GX', '7', 'STR', '[2016-2020]']",149000.0,1
19788,1595000.0,4.7,Diesel,Manual - 5 Gears,Brown,Comprehensive,Individual,"Ashok Nagar, Delhi","2393 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",Diesel,Manual - 5 Gears,148 bhp @ 3400 rpm,343 Nm @ 1400 rpm,ARAI: 15.6 kmpl | User Reported: 14.5 kmpl,,BS 6,7 Seats and 3 Rows,300 L,55 litres,"3 Airbags (Driver, Front Passenger, Driver Knee)",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Rear,No,No,,No,Not Applicable,Not Applicable,858 km,Not Applicable,,,,,,Turbocharged (Variable Geometry),No,2021,Toyota,Innova,"['Crysta', 'G', '2.4', '7', 'STR']",58851.0,1
19789,1549000.0,4.7,Diesel,Manual - 5 Gears,White,Expired,Individual,"Kalkaji, Delhi","2393 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",Diesel,Manual - 5 Gears,148 bhp @ 3400 rpm,343 Nm @ 1400 rpm,ARAI: 15.6 kmpl | User Reported: 14.5 kmpl,,BS 6,7 Seats and 3 Rows,300 L,55 litres,"3 Airbags (Driver, Front Passenger, Driver Knee)",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Rear,No,No,,No,Not Applicable,Not Applicable,858 km,Not Applicable,,,,,,Turbocharged (Variable Geometry),No,2022,Toyota,Innova,"['Crysta', 'G', '2.4', '7', 'STR']",56663.0,1
19790,1250000.0,2462000.0,Diesel,Manual,Grey,Comprehensive,Individual,"Pitampura, Delhi","2393 cc, 4 Cylinders Inline, 4 Valves/Cylinder",Diesel,Manual,148 bhp @ 3400 rpm,343 Nm @ 1400 rpm,,,,7 Seats and 3 Rows,,55 litres,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,Toyota,Innova,"['Crysta', '2.4', 'V', 'Diesel']",103000.0,1
19791,2050000.0,2971000.0,Diesel,Manual - 5 Gears,Grey,Comprehensive,Individual,"Greater Kailash, Delhi","2393 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",Diesel,Manual - 5 Gears,148 bhp @ 3400 rpm,343 Nm @ 1400 rpm,ARAI: 15.6 kmpl | User Reported: 13 kmpl,,BS 6,7 Seats and 3 Rows,300 L,55 litres,"7 Airbags (Driver, Front Passenger, 2 Curtain, Driver Knee, Driver Side, Front Passenger Side)",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Front & Rear,Yes,Yes,,No,Not Applicable,Not Applicable,858 km,Not Applicable,,,,,,Turbocharged (Variable Geometry),No,2021,Toyota,Innova,"['Crysta', 'ZX', '2.4', '7', 'STR']",89000.0,1
19792,1095000.0,1919000.0000000002,Petrol,Automatic - 6 Gears,Silver,Not Available,Individual,"Lajpat Nagar, Delhi","2694 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",Petrol,Automatic - 6 Gears,164 bhp @ 5200 rpm,245 Nm @ 4000 rpm,ARAI: 10.75 kmpl,,BS 4,7 Seats and 3 Rows,,65 litres,,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,No,,,Not Applicable,,,,,,,,,No,No,2019,Toyota,Innova,"['Crysta', '2.7', 'GX', 'AT', '7', 'STR', '[2016-2020]']",80952.0,1
19793,1475000.0,2408000.0,Diesel,Manual - 5 Gears,Grey,Comprehensive,Individual,"Mansarover Garden, Delhi","2393 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",Diesel,Manual - 5 Gears,148 bhp @ 3400 rpm,343 Nm @ 1400 rpm,ARAI: 15.6 kmpl,,BS 6,7 Seats and 3 Rows,300 L,55 litres,"3 Airbags (Driver, Front Passenger, Driver Knee)",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Rear,No,No,,No,Not Applicable,Not Applicable,858 km,Not Applicable,,,,,,Turbocharged (Variable Geometry),No,2021,Toyota,Innova,"['Crysta', 'GX', '2.4', '7', 'STR']",95000.0,1
19794,994999.9999999999,2113000.0,Diesel,"Automatic - 6 Gears, Manual Override, Sport Mode",Bronze,Comprehensive,Individual,"Mansarover Garden, Delhi","2755 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",Diesel,"Automatic - 6 Gears, Manual Override, Sport Mode",172 bhp @ 3400 rpm,360 Nm @ 1200 rpm,ARAI: 14.29 kmpl,,BS 4,7 Seats and 3 Rows,,55 litres,,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,No,,,Not Applicable,,,,,,,,,Turbocharged (Variable Geometry),No,2016,Toyota,Innova,"['Crysta', '2.8', 'GX', 'AT', '7', 'STR', '[2016-2020]']",110000.0,1
19795,1689999.9999999998,2971000.0,Diesel,Manual - 5 Gears,White,Comprehensive,Individual,"Mansarover Garden, Delhi","2393 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",Diesel,Manual - 5 Gears,148 bhp @ 3400 rpm,343 Nm @ 1400 rpm,ARAI: 15.6 kmpl | User Reported: 13 kmpl,,BS 6,7 Seats and 3 Rows,300 L,55 litres,"7 Airbags (Driver, Front Passenger, 2 Curtain, Driver Knee, Driver Side, Front Passenger Side)",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Front & Rear,Yes,Yes,,No,Not Applicable,Not Applicable,858 km,Not Applicable,,,,,,Turbocharged (Variable Geometry),No,2021,Toyota,Innova,"['Crysta', 'ZX', '2.4', '7', 'STR']",92000.0,1
19796,894999.9999999999,1919000.0000000002,Petrol,Automatic - 6 Gears,Brown,Not Available,Individual,"Multani Mohalla, Delhi","2694 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",Petrol,Automatic - 6 Gears,164 bhp @ 5200 rpm,245 Nm @ 4000 rpm,ARAI: 10.75 kmpl,,BS 4,7 Seats and 3 Rows,,65 litres,,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,No,,,Not Applicable,,,,,,,,,No,No,2017,Toyota,Innova,"['Crysta', '2.7', 'GX', 'AT', '7', 'STR', '[2016-2020]']",790000.0,1
