Price,new_car_price,overview_Fuel type,spec_Top Speed,spec_Emission Standard,spec_Seating Capacity,spec_Bootspace,spec_Fuel Tank Capacity,spec_Airbags,spec_Anti-Lock Braking System (ABS),spec_Electronic Stability Program (ESP),spec_Brake Assist (BA),spec_Electronic Brake-force Distribution (EBD),spec_Traction Control System (TC/TCS),spec_Hill Hold Control,spec_Hill Descent Control,spec_Child Safety Lock,spec_Child Seat Anchor Points,spec_Engine Immobiliser,spec_Central Locking,spec_Sunroof,spec_Parking Sensors,spec_Keyless Start/ Button Start,spec_GPS Navigation System,spec_ADAS,spec_Automatic Emergency Braking,spec_Vehicle Warranty,spec_Battery,spec_Driving Range,spec_Battery Warranty,spec_DC Fast Charging,spec_AC Fast Charging,spec_AC Regular Charging,spec_Regenerative Braking,spec_CNG Tank Capacity (L/Kg),spec_Turbocharger/ Supercharger,spec_Four-Wheel-Drive,Manufacturing Year,Brand,Model,Varient,Kilometer,ownership,Transmission,Insurance,Registration_Type,City,Engine(cc),Max_Power(bhp),Mileage
3300000.0,7068000.000000001,Petrol,250 kmph,BS 6,5 Seats and 2 Rows,,73 litres,"6 Airbags (Driver, Front Passenger, 2 Curtain, Driver Side, Front Passenger Side)",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Remote Central Locking with Boot Opener,Panoramic Sunroof,Front & Rear,Yes,Yes,,No,Not Applicable,Not Applicable,1022 km,Not Applicable,,,,No,,Turbocharged (Variable Geometry),No,2022,Audi,A6,"['Premium', 'Plus', '45', 'TFSI', '[2019-2024]']",35770.0,2,Automatic,No,Individual,Ahmedabad,1984 ,261,14 kmpl
2250000.0,4672000.0,Petrol,228 kmph,BS 6,5 Seats and 2 Rows,355 L,55 litres,"6 Airbags (Driver, Front Passenger, 2 Curtain, Driver Side, Front Passenger Side)",Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Remote,Panoramic Sunroof,Front & Rear,Yes,Yes,,No,Not Applicable,Not Applicable,846 km,Not Applicable,,,,,,Turbocharged,Torque-On-Demand,2021,Audi,Q2,"['Premium', '40', 'TFSI', 'quattro']",60000.0,1,Automatic,Yes,Individual,Ahmedabad,1984 ,188,15.3 kmpl
1895000.0,4672000.0,Petrol,228 kmph,BS 6,5 Seats and 2 Rows,355 L,55 litres,"6 Airbags (Driver, Front Passenger, 2 Curtain, Driver Side, Front Passenger Side)",Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Remote,Panoramic Sunroof,Front & Rear,Yes,Yes,,No,Not Applicable,Not Applicable,846 km,Not Applicable,,,,,,Turbocharged,Torque-On-Demand,2020,Audi,Q2,"['Premium', '40', 'TFSI', 'quattro']",24000.0,2,Automatic,No,Individual,Ahmedabad,1984 ,188,15.3 kmpl
2100000.0,12600000.0,Diesel,,,4 Seats and 2 Rows,,90 litres,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Remote,Electrically Adjustable Sunroof,,Yes,Yes,,,Not Applicable,,,,,,,,,,,2012,Audi,A8,"['L', '3.0', 'TDI', 'quattro']",32500.0,1,Automatic,Yes,Individual,Ahmedabad,2967 ,247,15.5 kmpl
4250000.0,,Petrol,220 kmph,BS6 Phase 2,5 Seats and 2 Rows,530 L,62.4 litres,"6 Airbags (Driver, Front Passenger, 2 Curtain, Driver Side, Front Passenger Side)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Remote,Panoramic Sunroof,Rear,No,Yes,,No,Not Applicable,Not Applicable,,Not Applicable,,,,No,,Turbocharged,Full-time,2024,Audi,Q3,"['Sportback', 'Technology', 'Plus', 'S-line']",6000.0,,Automatic,No,Not Available,Ahmedabad,1984 ,193,
3351000.0,6018000.0,Petrol,220 kmph,BS 6,5 Seats and 2 Rows,530 L,62.4 litres,"6 Airbags (Driver, Front Passenger, 2 Curtain, Driver Side, Front Passenger Side)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Remote,Panoramic Sunroof,Rear,No,Yes,,No,Not Applicable,Not Applicable,,Not Applicable,,,,No,,Turbocharged,Full-time,2024,Audi,Q3,"['Sportback', 'Technology', 'Plus', 'S-line', '[2023-2024]']",35162.0,1,Automatic,No,Not Available,Ahmedabad,1984 ,193,
1675000.0,3873000.0,Petrol,,BS 4,5 Seats and 2 Rows,460 L,64 litres,"6 Airbags (Driver, Front Passenger, 2 Curtain, Driver Side, Front Passenger Side)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Remote,Panoramic Sunroof,No,No,Yes,,,Not Applicable,,,,,,,,,Turbocharged (Variable Geometry),No,2017,Audi,Q3,"['30', 'TFSI', 'Premium']",30000.0,1,Automatic,Yes,Individual,Ahmedabad,1395 ,148,16.9 kmpl
1750000.0,4.7,Diesel,,BS 4,5 Seats and 2 Rows,460 L,64 litres,"6 Airbags (Driver, Front Passenger, 2 Curtain, Driver Side, Front Passenger Side)",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Remote,Panoramic Sunroof,No,No,Yes,,,Not Applicable,,,,,,,,,Turbocharged (Variable Geometry),No,2017,Audi,Q3,"['30', 'TDI', 'Premium', 'FWD']",68829.0,1,Automatic,No,Individual,Ahmedabad,1968 ,150,18.51 kmpl
3900000.0,5303000.0,Petrol,222 kmph,BS6 Phase 2,5 Seats and 2 Rows,530 L,62.4 litres,"6 Airbags (Driver, Front Passenger, 2 Curtain, Driver Side, Front Passenger Side)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Remote,Panoramic Sunroof,Rear,No,Yes,,No,Not Applicable,Not Applicable,896 km,Not Applicable,,,,,,Turbocharged,Full-time,2025,Audi,Q3,"['40', 'TFSI', 'Premium', 'Plus']",35000.0,1,Automatic,Yes,Individual,Ahmedabad,1984 ,188,14.93 kmpl
1290000.0,3611000.0,Diesel,,,5 Seats and 2 Rows,460 L,64 litres,,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Remote,Electrically Adjustable Sunroof,No,No,,,,Not Applicable,,,,,,,,,Turbocharged (Variable Geometry),No,2017,Audi,Q3,"['30', 'TDI', 'S']",122000.0,1,Manual,Yes,Individual,Ahmedabad,1968 ,138,17.71 kmpl
