Price,new_car_price,overview_Fuel type,spec_Regenerative Braking,spec_CNG Tank Capacity (L/Kg),spec_Turbocharger/ Supercharger,spec_Four-Wheel-Drive,Manufacturing Year,Brand,Model,Varient,Kilometer,ownership,Transmission,Insurance,Registration_Type,City,Engine(cc),Max_Power(bhp),Mileage,Emission_Standard,Seating_Capacity,Fuel_Tank_Capcity,Safety_Score,Sunroof,Praking_Sensors,Keyless_Start,GPS_Navigation,ADAS,Automatic_Emergency_Braking,Driving_Range
225000.0,440000.00000000006,Petrol,,,No,No,2017,Renault,Kwid,"['RXT', 'Edition']",33000.0,1,Manual,No,Individual,Lucknow,799 ,53.0,25.17 kmpl,Not Applicable,5,28,0.8867817581619221,No,No,No,Yes,No,No,0
300000.0,372000.0,CNG,,,No,No,2018,Renault,Kwid,"['RXE', '[2015-2019]']",60000.0,1,Manual,No,Individual,Lucknow,799 ,53.0,25.17 kmpl,Not Applicable,5,28,1.1728785412926304,No,No,No,No,No,No,0
228000.0,510000.0,Petrol,,,No,No,2016,Renault,Kwid,"['1.0', 'RXT', 'AMT', 'Opt', '[2016-2019]']",79168.0,1,Automatic,Yes,Not Available,Lucknow,999 ,67.0,24.04 kmpl,Not Applicable,5,28,1.1861850568025385,No,No,No,Yes,No,No,0
626000.0,1146000.0,Petrol,,,Turbocharged,No,2022,Renault,Kiger,"['RXZ', 'Turbo', 'CVT']",27770.0,1,Automatic,Yes,Not Available,Lucknow,999 ,99.0,20.53 kmpl,BS 6,5,40,3.0071845743192984,No,Yes,Yes,No,No,No,0
263000.0,427000.0,Petrol,,,No,No,2019,Renault,Kwid,['RXL'],30231.0,1,Manual,No,Individual,Lucknow,799 ,53.0,25 kmpl,Not Applicable,5,28,1.1861850568025385,No,Yes,No,No,No,No,0
200000.0,451000.0,Petrol,,,No,No,2016,Renault,Kwid,"['1.0', 'RXT', '[2016-2019]']",62000.0,1,Manual,No,Not Available,Lucknow,999 ,67.0,23.01 kmpl,Not Applicable,5,28,0.8867817581619221,No,No,No,Yes,No,No,0
371000.0,578000.0,Petrol,,,No,No,2020,Renault,Kwid,"['CLIMBER', '1.0', 'Opt', '[2020-2021]']",34491.0,1,Manual,Yes,Not Available,Lucknow,999 ,67.0,23 kmpl,BS 6,5,28,1.1861850568025385,No,Yes,No,Yes,No,No,644
336000.0,567000.0,Petrol,,,No,No,2021,Renault,Kwid,"['RXT', '0.8']",19900.0,1,Manual,No,Not Available,Lucknow,799 ,53.0,20.71 kmpl,BS 6,5,28,1.1861850568025385,No,Yes,No,Yes,No,No,580
300000.0,415000.00000000006,Petrol,,,No,No,2018,Renault,Kwid,"['1.0', 'RXL', '[2017-2019]']",25000.0,2,Manual,No,Not Available,Lucknow,999 ,67.0,23.01 kmpl,Not Applicable,5,28,0.8734752426520138,No,No,No,No,No,No,0
243000.00000000003,538000.0,Petrol,,,No,No,2017,Renault,Kwid,"['CLIMBER', '1.0', 'AMT', '[2017-2019]']",43928.0,2,Automatic,Yes,Not Available,Lucknow,999 ,67.0,24.04 kmpl,Not Applicable,5,28,1.1861850568025385,No,No,No,Yes,No,No,0
225000.0,440000.00000000006,Petrol,,,No,No,2017,Renault,Kwid,"['RXT', 'Edition']",20000.0,1,Manual,No,Not Available,Lucknow,799 ,53.0,25.17 kmpl,Not Applicable,5,28,0.8867817581619221,No,No,No,Yes,No,No,0
225000.0,518000.0,Petrol,,,No,No,2019,Renault,Kwid,"['1.0', 'RXT', '[2019-2020]']",99821.0,1,Manual,No,Not Available,Lucknow,999 ,67.0,23 kmpl,BS 4,5,28,0.29940329864061643,No,Yes,No,Yes,No,No,0
330000.0,525000.0,Petrol,,,No,No,2019,Renault,Kwid,"['1.0', 'RXT', 'AMT', 'Opt']",25500.0,2,Automatic,Yes,Individual,Lucknow,999 ,67.0,24 kmpl,Not Applicable,5,28,1.1861850568025385,No,Yes,No,Yes,No,No,0
183000.0,427000.0,Petrol,,,No,No,2016,Renault,Kwid,"['RXT', '[2015-2019]']",79495.0,3,Manual,Yes,Not Available,Lucknow,799 ,53.0,25.17 kmpl,Not Applicable,5,28,0.8867817581619221,No,No,No,Yes,No,No,0
260000.0,476000.0,Petrol,,,No,No,2017,Renault,Kwid,"['1.0', 'RXT', 'Edition']",50000.0,1,Manual,Yes,Individual,Lucknow,999 ,67.0,23.01 kmpl,Not Applicable,5,28,0.8867817581619221,No,No,No,Yes,No,No,0
300000.0,356000.0,Petrol,,,No,No,2018,Renault,Kwid,"['RXE', 'Opt', '[2015-2019]']",70000.0,1,Manual,No,Individual,Lucknow,799 ,53.0,25.17 kmpl,Not Applicable,5,28,0.8734752426520138,No,No,No,No,No,No,0
362000.0,578000.0,Petrol,,,No,No,2020,Renault,Kwid,"['CLIMBER', '1.0', 'Opt', '[2020-2021]']",38627.0,1,Manual,Yes,Not Available,Lucknow,999 ,67.0,23 kmpl,BS 6,5,28,1.1861850568025385,No,Yes,No,Yes,No,No,644
